data_resposta,cpf,intervalo_renda
2025-04-28,68929247680,R$4.000–8.000
2025-08-23,20521365485,+R$12.000
2024-10-14,17171736758,R$8.000–12.000
2025-11-02,38353162938,+R$12.000
2024-07-27,50394841610,R$8.000–12.000
2024-09-21,92832503904,R$8.000–12.000
2024-12-04,29588663145,R$8.000–12.000
2024-07-06,21270951953,R$8.000–12.000
2024-06-21,36302832643,+R$12.000
2024-12-11,21090304952,+R$12.000
2025-09-09,92408975738,R$8.000–12.000
2025-05-23,16327734197,R$4.000–8.000
2025-11-01,89729550552,R$8.000–12.000
2024-09-08,58484668759,R$4.000–8.000
2024-02-23,60729647203,R$8.000–12.000
2025-03-06,62823178246,R$2.000–4.000
2024-09-18,43511698250,R$4.000–8.000
2024-01-12,88613660406,R$8.000–12.000
2024-04-29,99948330981,R$4.000–8.000
2024-08-12,76546141191,+R$12.000
2024-08-25,89001791796,R$2.000–4.000
2024-03-08,34358475854,R$8.000–12.000
2025-07-05,24852072098,R$8.000–12.000
2025-09-07,96582442906,R$8.000–12.000
2025-05-20,76449325066,+R$12.000
2025-01-03,90673777957,R$8.000–12.000
2025-06-23,77215927676,R$8.000–12.000
2024-08-27,50453082973,R$4.000–8.000
2024-06-08,45780709086,R$8.000–12.000
2024-03-19,38615464005,R$8.000–12.000
2025-04-19,77266384170,R$8.000–12.000
2025-01-11,61312435824,R$4.000–8.000
2025-05-24,29115637910,R$8.000–12.000
2024-01-18,58454028781,R$8.000–12.000
2025-10-08,01234787327,+R$12.000
2025-04-30,42545674097,R$4.000–8.000
2025-11-10,37520099597,+R$12.000
2024-04-30,58429234346,R$8.000–12.000
2024-10-07,60411452733,R$8.000–12.000
2024-01-28,68573994447,R$8.000–12.000
2024-12-31,01308132345,R$8.000–12.000
2024-08-07,49195472787,R$4.000–8.000
2024-04-27,08388600557,R$8.000–12.000
2025-12-14,75283881417,R$2.000–4.000
2024-05-01,01295689485,R$2.000–4.000
2025-06-14,51001147451,+R$12.000
2025-05-14,52637032330,R$8.000–12.000
2024-12-31,22016624882,+R$12.000
2024-05-20,00880532017,R$8.000–12.000
2025-12-23,89143464477,+R$12.000
2025-03-06,08257786129,+R$12.000
2025-06-21,06883534844,R$2.000–4.000
2025-06-17,05855396420,R$4.000–8.000
2024-10-27,30577122517,+R$12.000
2024-08-08,66138015488,+R$12.000
2024-06-25,83234076239,R$8.000–12.000
2025-07-14,57994589014,+R$12.000
2024-07-19,36925707589,R$8.000–12.000
2025-11-01,87041151669,R$4.000–8.000
2024-04-12,58625708539,R$4.000–8.000
2024-05-17,09986834878,+R$12.000
2024-07-09,00053511969,+R$12.000
2024-12-24,93456280392,R$8.000–12.000
2024-10-01,66656008610,R$8.000–12.000
2024-09-21,07620545967,R$8.000–12.000
2025-09-27,13063604884,+R$12.000
2025-01-31,69572193063,+R$12.000
2024-07-09,64857110473,R$8.000–12.000
2025-05-01,59541552852,R$4.000–8.000
2024-09-17,10199382053,+R$12.000
2024-07-28,85442536182,R$8.000–12.000
2024-07-28,22477992272,R$8.000–12.000
2025-02-20,67720697256,R$8.000–12.000
2024-10-09,14991537038,R$8.000–12.000
2024-06-09,01065133387,R$8.000–12.000
2025-11-21,97963384832,R$8.000–12.000
2024-06-24,99245761959,R$8.000–12.000
2024-08-16,04884530223,R$2.000–4.000
2025-01-08,83869343069,R$2.000–4.000
2025-08-31,64088966821,R$4.000–8.000
2025-05-01,81171461368,R$4.000–8.000
2025-09-11,93284629547,+R$12.000
2024-05-05,57094952066,R$8.000–12.000
2024-12-24,79364439711,R$8.000–12.000
2024-01-17,81034966215,R$4.000–8.000
2025-05-13,96708673619,R$8.000–12.000
2024-11-15,65802697135,R$8.000–12.000
2024-11-04,19369014480,R$4.000–8.000
2024-12-23,64874867851,R$4.000–8.000
2025-10-06,24924121268,+R$12.000
2024-06-03,60356966154,R$4.000–8.000
2024-10-02,85190802048,+R$12.000
2025-07-12,19803171884,R$4.000–8.000
2024-05-08,05556646622,+R$12.000
2025-07-01,19310027351,R$8.000–12.000
2024-12-05,71182275541,R$8.000–12.000
2025-07-18,62253530354,R$8.000–12.000
2024-12-24,79945085734,R$8.000–12.000
2024-10-04,24978854613,R$4.000–8.000
2024-02-23,09089161121,R$8.000–12.000
2024-10-01,55011713359,-R$2.000
2025-06-10,91632368255,R$8.000–12.000
2025-05-08,08940809900,+R$12.000
2024-09-18,12877187292,R$4.000–8.000
2025-03-04,26043664728,R$8.000–12.000
2024-09-03,64000569960,R$4.000–8.000
2025-05-26,59134865855,+R$12.000
2024-01-26,87790432163,R$8.000–12.000
2025-01-16,86857117397,+R$12.000
2025-06-09,42585475869,R$4.000–8.000
2025-02-20,26375332004,R$8.000–12.000
2025-11-16,48550433297,R$2.000–4.000
2024-04-05,40806376315,R$8.000–12.000
2024-02-17,20309817538,R$4.000–8.000
2024-02-05,73738151184,R$8.000–12.000
2025-10-05,79336372972,R$8.000–12.000
2025-04-14,83953116951,R$8.000–12.000
2024-09-10,30863185620,+R$12.000
2025-03-29,74349415364,+R$12.000
2024-07-30,69045706472,R$8.000–12.000
2025-08-14,30916340327,R$8.000–12.000
2025-10-17,96181955698,R$4.000–8.000
2025-04-02,59619260057,R$8.000–12.000
2024-06-30,75648723562,R$8.000–12.000
2025-03-14,53993269274,R$4.000–8.000
2024-05-01,85724613785,+R$12.000
2024-05-30,93673145294,R$4.000–8.000
2025-04-15,12327661301,R$8.000–12.000
2024-03-26,83190449477,R$4.000–8.000
2025-11-16,86643203172,+R$12.000
2024-05-27,92045508881,R$8.000–12.000
2024-10-10,47282789899,R$4.000–8.000
2024-06-20,63960177769,R$8.000–12.000
2024-05-12,40624393997,R$8.000–12.000
2024-07-10,85703833917,R$8.000–12.000
2025-09-02,14243063630,R$8.000–12.000
2024-09-06,20425989497,R$8.000–12.000
2025-03-07,04891702609,+R$12.000
2025-05-24,26611629083,R$2.000–4.000
2025-02-15,05577950172,+R$12.000
2025-04-02,72963583463,+R$12.000
2025-09-03,89910998793,R$8.000–12.000
2025-05-16,74080111499,R$4.000–8.000
2024-03-15,18200430855,R$4.000–8.000
2024-05-04,37334106763,R$4.000–8.000
2025-08-01,87798123890,R$8.000–12.000
2025-05-13,85289807838,+R$12.000
2025-04-11,01961830122,R$4.000–8.000
2024-11-29,83102756563,+R$12.000
2024-03-06,11875174216,R$4.000–8.000
2024-09-25,94255845102,R$8.000–12.000
2025-07-07,72760236561,+R$12.000
2025-12-07,70746931103,R$8.000–12.000
2025-08-25,35870612050,R$4.000–8.000
2025-07-23,63422368107,R$8.000–12.000
2025-11-17,44301792957,R$8.000–12.000
2025-06-18,71031569254,+R$12.000
2025-11-25,43530282237,R$8.000–12.000
2025-06-24,84225085355,R$8.000–12.000
2024-03-29,84959412908,R$4.000–8.000
2024-06-10,02387351866,+R$12.000
2025-02-01,21830343949,R$4.000–8.000
2024-12-24,07917909695,R$8.000–12.000
2025-05-03,41771708691,+R$12.000
2024-11-02,03627130837,R$4.000–8.000
2025-09-01,76973030612,R$8.000–12.000
2024-06-14,53056904672,R$8.000–12.000
2025-03-01,48223920535,R$8.000–12.000
2025-10-15,05494470861,R$4.000–8.000
2025-10-06,95407833233,R$8.000–12.000
2025-05-06,13153322617,R$8.000–12.000
2024-03-31,18599546274,R$8.000–12.000
2025-12-14,73297741050,R$8.000–12.000
2025-04-13,83366859548,R$8.000–12.000
2024-10-26,79253615684,+R$12.000
2024-07-24,05868264021,R$2.000–4.000
2025-05-08,04692422407,R$2.000–4.000
2025-02-17,94074327143,R$8.000–12.000
2025-07-13,35830215531,R$8.000–12.000
2025-09-29,09641621660,R$4.000–8.000
2024-09-26,53061124972,R$8.000–12.000
2025-01-17,34017774681,R$2.000–4.000
2025-02-16,30497165007,R$8.000–12.000
2024-06-14,35668715837,R$4.000–8.000
2025-09-03,59960041929,R$8.000–12.000
2024-07-27,99494349060,R$8.000–12.000
2025-04-03,68399120912,+R$12.000
2025-02-22,08057117844,R$8.000–12.000
2025-11-29,45694431203,+R$12.000
2024-11-08,44993318551,R$4.000–8.000
2025-01-05,57681130183,R$4.000–8.000
2024-05-23,29962294030,R$4.000–8.000
2025-06-29,35264699049,R$8.000–12.000
2024-02-01,73395231083,R$4.000–8.000
2024-09-12,82500711004,R$2.000–4.000
2024-09-26,25996486746,R$8.000–12.000
2024-05-21,21752500743,R$8.000–12.000
2025-12-28,38944643010,R$8.000–12.000
2025-09-16,20593614953,R$8.000–12.000
2024-01-13,46402926398,R$4.000–8.000
2024-04-26,85855602828,R$8.000–12.000
2024-09-28,31047071991,R$8.000–12.000
2025-05-03,74945568914,R$8.000–12.000
2025-01-02,10626186577,R$4.000–8.000
2025-07-09,04894984560,+R$12.000
2025-09-05,19796170135,R$8.000–12.000
2024-11-17,94255093766,R$4.000–8.000
2025-11-26,90411342073,R$2.000–4.000
2024-11-19,44320824633,R$8.000–12.000
2025-02-05,10405229119,R$4.000–8.000
2025-05-15,74198767132,R$8.000–12.000
2024-03-07,85537059884,R$4.000–8.000
2024-04-14,99046262924,R$8.000–12.000
2025-01-17,45778310776,R$4.000–8.000
2024-01-20,57599560314,R$8.000–12.000
2025-01-20,26985092459,R$4.000–8.000
2024-08-16,64734845724,R$8.000–12.000
2024-12-20,15101147630,R$8.000–12.000
2024-11-28,63122190021,R$8.000–12.000
2025-10-17,04247995988,R$4.000–8.000
2025-11-11,46161310131,R$2.000–4.000
2024-05-28,39734031045,+R$12.000
2024-04-25,74312858132,R$4.000–8.000
2025-06-09,51061044855,R$8.000–12.000
2024-03-29,96887803429,R$4.000–8.000
2025-02-02,08854972714,R$8.000–12.000
2025-06-19,03994920133,R$8.000–12.000
2025-03-25,05077169879,+R$12.000
2024-04-06,84687129708,R$8.000–12.000
2024-12-18,23872578761,R$4.000–8.000
2025-08-29,70309301094,R$8.000–12.000
2024-06-02,62782815054,R$2.000–4.000
2025-10-27,94206615498,R$8.000–12.000
2024-07-02,90962040505,R$2.000–4.000
2024-07-22,37366047002,R$8.000–12.000
2024-12-04,43339301438,R$4.000–8.000
2024-04-08,81442072116,R$4.000–8.000
2025-12-04,41129952995,R$8.000–12.000
2024-02-26,99667890610,+R$12.000
2025-11-15,94224057956,R$8.000–12.000
2025-04-13,14320646986,+R$12.000
2024-12-08,64238781583,R$8.000–12.000
2025-08-04,38717783343,R$8.000–12.000
2024-05-30,69068548671,R$4.000–8.000
2025-10-22,27688311138,+R$12.000
2024-08-24,20882078250,+R$12.000
2024-09-13,32256981721,R$2.000–4.000
2024-06-21,05821759819,R$4.000–8.000
2025-06-14,11862178620,R$4.000–8.000
2025-02-14,39370460537,+R$12.000
2025-07-16,98410639632,R$8.000–12.000
2025-04-10,78957116674,R$8.000–12.000
2025-08-30,40545466096,R$4.000–8.000
2025-06-20,55288437109,R$8.000–12.000
2025-02-27,43390680133,R$2.000–4.000
2025-12-08,13341367113,R$8.000–12.000
2024-04-05,37334074890,+R$12.000
2025-12-17,99687225893,R$8.000–12.000
2025-05-20,12441423906,R$4.000–8.000
2025-03-03,61681583706,+R$12.000
2025-02-08,16716957922,R$8.000–12.000
2025-12-19,40328266448,+R$12.000
2025-09-06,88588376367,R$8.000–12.000
2024-01-11,89200054096,R$8.000–12.000
2024-01-15,42440497793,R$4.000–8.000
2025-02-10,32229613186,+R$12.000
2025-12-31,16576152168,+R$12.000
2025-09-18,08280133030,R$4.000–8.000
2025-09-07,97450912383,R$8.000–12.000
2024-11-11,26456496741,R$8.000–12.000
2025-03-18,65566739350,R$8.000–12.000
2024-10-23,46370085654,R$8.000–12.000
2024-03-27,34127056967,R$8.000–12.000
2025-02-25,34460917380,R$8.000–12.000
2024-05-14,92849170254,R$8.000–12.000
2024-11-04,47348824103,+R$12.000
2024-06-10,24104881315,R$2.000–4.000
2025-02-19,65128135308,R$4.000–8.000
2024-08-23,58602952382,R$8.000–12.000
2024-04-26,95551111979,R$8.000–12.000
2024-09-18,56811127383,R$4.000–8.000
2025-02-10,23439210173,R$8.000–12.000
2025-08-21,55756857335,R$4.000–8.000
2024-07-30,54585850848,R$4.000–8.000
2025-12-13,56827227506,R$4.000–8.000
2024-04-26,22625840849,R$8.000–12.000
2024-09-07,98080465376,R$4.000–8.000
2025-07-18,27841031491,R$8.000–12.000
2024-03-21,72164051409,R$8.000–12.000
2025-03-07,53006221224,R$8.000–12.000
2025-09-21,88079393555,R$8.000–12.000
2024-12-26,62579110202,R$8.000–12.000
2024-04-26,53863300556,+R$12.000
2024-03-17,21842369027,R$8.000–12.000
2024-08-08,80895387261,R$4.000–8.000
2025-09-18,01433504140,+R$12.000
2025-08-03,57067847439,R$4.000–8.000
2024-02-28,01581267569,+R$12.000
2024-07-23,91013607023,+R$12.000
2025-12-30,10004021014,R$4.000–8.000
2024-07-30,73559259612,R$8.000–12.000
2024-03-19,05673927921,+R$12.000
2024-11-08,94263891103,R$4.000–8.000
2024-07-01,25716111719,R$8.000–12.000
2025-07-06,25404019321,R$8.000–12.000
2024-05-21,19979574433,R$8.000–12.000
2024-02-27,61355801280,-R$2.000
2024-09-23,39678214171,R$4.000–8.000
2025-04-26,09579774854,R$4.000–8.000
2025-09-24,69807201620,R$4.000–8.000
2024-05-04,75278715004,R$4.000–8.000
2025-01-01,40635315772,+R$12.000
2024-04-02,75350183882,R$8.000–12.000
2024-04-18,23810971028,+R$12.000
2025-09-24,12195479984,R$8.000–12.000
2025-02-02,57995319221,R$4.000–8.000
2024-07-23,33171953875,R$8.000–12.000
2024-05-10,99379232268,R$4.000–8.000
2025-04-11,86998519393,R$4.000–8.000
2025-07-19,09766061488,R$4.000–8.000
2024-05-06,70132485561,+R$12.000
2024-01-28,38681548379,R$8.000–12.000
2024-07-30,98389118943,R$8.000–12.000
2025-10-12,97588148912,R$8.000–12.000
2025-07-15,14210404087,R$8.000–12.000
2025-03-12,92564341862,R$8.000–12.000
2024-09-27,00862918348,R$8.000–12.000
2024-03-10,34037250578,R$4.000–8.000
2025-01-06,38563659885,R$8.000–12.000
2024-05-01,54601891134,R$8.000–12.000
2024-09-17,33591163941,R$8.000–12.000
2025-12-04,29012857690,R$8.000–12.000
2024-08-08,89676471559,R$8.000–12.000
2024-08-12,36605787530,R$8.000–12.000
2025-09-04,90029256751,R$8.000–12.000
2025-03-23,13359117993,+R$12.000
2024-01-27,17983571491,+R$12.000
2024-06-17,36076393478,R$8.000–12.000
2024-01-30,32562928923,+R$12.000
2024-03-22,67624453611,+R$12.000
2025-12-14,97245671068,R$8.000–12.000
2024-04-14,16699563635,R$8.000–12.000
2024-03-17,49817772773,R$8.000–12.000
2025-04-21,09197251871,R$4.000–8.000
2025-03-10,08119007626,+R$12.000
2024-05-29,52216994536,+R$12.000
2025-03-05,84801985894,R$8.000–12.000
2024-09-21,58213448514,R$8.000–12.000
2025-12-25,78909953518,R$4.000–8.000
2025-01-26,87888361310,+R$12.000
2024-12-16,17154821100,R$8.000–12.000
2025-11-22,35117387394,R$4.000–8.000
2024-11-27,63488417880,R$8.000–12.000
2025-02-17,30068515518,R$8.000–12.000
2025-09-03,68366620410,R$8.000–12.000
2024-12-15,56900442249,R$4.000–8.000
2024-09-22,25437904019,+R$12.000
2025-04-10,87086142283,R$4.000–8.000
2024-04-03,88480149442,R$8.000–12.000
2025-09-28,29304888832,R$8.000–12.000
2025-11-07,85920989787,R$8.000–12.000
2025-04-19,64622073614,+R$12.000
2025-12-16,48220765700,R$4.000–8.000
2024-11-12,68703145323,R$8.000–12.000
2024-10-20,97785910200,R$8.000–12.000
2024-09-10,06202804535,R$4.000–8.000
2025-07-29,40233460288,R$8.000–12.000
2025-04-15,29139971826,R$8.000–12.000
2024-01-08,37901688404,R$8.000–12.000
2025-12-08,09799405896,R$4.000–8.000
2025-11-27,40868211880,R$4.000–8.000
2025-01-17,99496014967,+R$12.000
2025-02-07,69531264690,+R$12.000
2024-03-05,73147191128,R$8.000–12.000
2024-04-20,31015467133,R$2.000–4.000
2024-12-08,93873989977,R$4.000–8.000
2025-04-10,93771517217,R$8.000–12.000
2024-01-13,59053058704,R$4.000–8.000
2025-11-09,58271380531,R$4.000–8.000
2024-06-03,44704782737,R$4.000–8.000
2024-07-24,56307361881,R$8.000–12.000
2025-06-15,28732349200,+R$12.000
2025-04-23,39469747631,R$8.000–12.000
2024-04-27,93636172277,R$8.000–12.000
2025-06-05,66867298432,R$8.000–12.000
2025-06-12,99928365818,R$8.000–12.000
2024-03-01,52499810339,+R$12.000
2024-06-12,49830293567,R$4.000–8.000
2025-10-23,53858048815,R$2.000–4.000
2025-07-25,56614494965,R$4.000–8.000
2025-09-07,97605053223,R$2.000–4.000
2025-12-07,94581352913,+R$12.000
2025-08-17,20656754406,R$4.000–8.000
2025-05-03,28191735139,R$8.000–12.000
2025-03-30,97076921871,R$8.000–12.000
2024-03-20,14788244815,R$4.000–8.000
2024-04-18,72980948685,R$4.000–8.000
2025-07-10,80485386801,R$4.000–8.000
2024-05-09,76657909647,+R$12.000
2025-12-24,67606411838,+R$12.000
2024-03-31,24827463523,R$4.000–8.000
2024-10-08,18516862124,R$8.000–12.000
2025-02-20,61626259848,+R$12.000
2025-05-23,89348198166,R$2.000–4.000
2025-04-12,71625626657,+R$12.000
2025-04-07,45675688722,-R$2.000
2024-03-08,34955746919,+R$12.000
2025-10-31,39196638136,R$8.000–12.000
2025-01-06,19314530829,R$8.000–12.000
2025-09-26,21207012450,R$2.000–4.000
2024-05-28,93285864271,R$4.000–8.000
2025-09-27,38086089856,R$8.000–12.000
2024-06-26,47991722781,R$8.000–12.000
2025-05-26,43669991268,+R$12.000
2025-04-15,66348599196,R$8.000–12.000
2024-11-06,31821246256,R$8.000–12.000
2024-04-26,08385850647,R$4.000–8.000
2025-12-20,26170431658,R$8.000–12.000
2024-07-23,48715678091,R$8.000–12.000
2025-07-18,54601108543,+R$12.000
2024-06-15,43536051940,+R$12.000
2024-03-27,97143409347,+R$12.000
2025-08-13,84368681114,R$2.000–4.000
2024-04-17,71156760606,R$8.000–12.000
2025-03-29,28600454006,+R$12.000
2025-10-04,32775222353,+R$12.000
2024-10-27,87538877966,R$4.000–8.000
2025-05-16,01174484129,+R$12.000
2025-05-08,11495111427,R$8.000–12.000
2025-04-24,64327900624,R$8.000–12.000
2024-02-04,14088468341,+R$12.000
2025-06-13,15406429405,R$4.000–8.000
2025-05-09,07884647156,R$8.000–12.000
2025-03-08,65282789834,R$8.000–12.000
2024-12-11,08878964944,R$8.000–12.000
2024-09-30,07023785215,+R$12.000
2024-11-23,66008282938,+R$12.000
2024-07-31,20454560846,+R$12.000
2025-10-05,84204264236,R$8.000–12.000
2025-05-17,05627002614,R$8.000–12.000
2024-06-25,16238030293,R$8.000–12.000
2025-01-20,34441432494,R$8.000–12.000
2024-02-05,01984090630,+R$12.000
2024-11-16,65787493985,R$2.000–4.000
2025-06-20,14919563316,R$8.000–12.000
2024-03-14,68393748967,R$8.000–12.000
2025-08-23,95795091052,R$8.000–12.000
2024-02-13,38274790688,R$8.000–12.000
2024-01-25,66351207916,R$2.000–4.000
2024-09-17,00951427010,R$4.000–8.000
2025-08-18,81774302121,R$4.000–8.000
2024-03-12,63916190646,+R$12.000
2025-08-11,03956433821,R$8.000–12.000
2025-09-20,59161732917,R$8.000–12.000
2024-12-04,63433997123,R$8.000–12.000
2025-04-10,15829295214,+R$12.000
2024-10-08,35381018659,+R$12.000
2025-10-01,27064128548,+R$12.000
2025-10-24,19185743699,R$8.000–12.000
2024-09-11,40164785060,R$4.000–8.000
2024-01-08,68601018150,R$8.000–12.000
2025-02-24,01878539030,R$2.000–4.000
2024-01-30,48340202584,R$8.000–12.000
2025-12-20,59863688225,R$2.000–4.000
2025-07-12,29435124850,R$4.000–8.000
2025-02-23,82777294182,R$8.000–12.000
2025-04-14,04562303744,R$8.000–12.000
2024-02-19,79459253755,R$4.000–8.000
2024-10-06,87916357968,R$8.000–12.000
2024-12-20,19986892556,R$4.000–8.000
2024-12-09,18951509531,R$8.000–12.000
2024-11-23,30537052248,+R$12.000
2024-11-01,53812321694,+R$12.000
2025-02-23,45907933601,R$8.000–12.000
2024-05-21,80915614826,R$8.000–12.000
2025-08-12,66464683434,R$2.000–4.000
2025-07-01,80553370119,+R$12.000
2024-10-24,07006891155,R$8.000–12.000
2025-09-25,73448113108,R$8.000–12.000
2024-11-03,98637631712,R$8.000–12.000
2025-09-05,37551199694,R$8.000–12.000
2025-10-25,51344088307,+R$12.000
2024-02-21,23284533892,R$4.000–8.000
2025-12-20,47842430396,R$4.000–8.000
2024-06-22,89124639888,+R$12.000
2025-07-19,92621539768,+R$12.000
2025-04-13,75109305114,R$8.000–12.000
2025-03-28,58498021016,R$4.000–8.000
2024-05-31,80919833723,R$2.000–4.000
2024-09-08,08587905599,R$4.000–8.000
2024-03-03,04799430983,R$8.000–12.000
2025-01-06,65492046312,+R$12.000
2025-12-03,95111132701,R$4.000–8.000
2024-01-25,85376895747,+R$12.000
2025-03-31,72650036575,+R$12.000
2025-11-25,81241838003,+R$12.000
2025-03-16,09614118873,R$8.000–12.000
2024-07-15,45942541501,R$8.000–12.000
2025-08-26,97304134493,R$4.000–8.000
2025-10-27,83778198918,R$4.000–8.000
2025-08-15,59850006147,R$2.000–4.000
2025-10-23,44483469401,+R$12.000
2024-08-29,84335566891,R$8.000–12.000
2025-10-21,28300067774,R$8.000–12.000
2025-07-09,11378077656,R$4.000–8.000
2025-09-08,49635216114,+R$12.000
2025-02-09,29270673071,R$8.000–12.000
2025-05-01,19879727416,R$8.000–12.000
2025-01-21,07833512432,+R$12.000
2025-04-12,73793024036,R$4.000–8.000
2024-07-28,96115706962,R$8.000–12.000
2025-01-10,98091620231,R$8.000–12.000
2024-10-10,77217529577,R$8.000–12.000
2024-08-26,84257965260,+R$12.000
2024-08-11,36840960523,+R$12.000
2025-05-13,41586410597,R$8.000–12.000
2025-04-15,57149133126,+R$12.000
2024-10-09,95854896811,+R$12.000
2024-03-16,34646128431,R$4.000–8.000
2024-05-12,57426808516,R$8.000–12.000
2024-11-02,36052451395,R$8.000–12.000
2025-02-13,47030898040,R$2.000–4.000
2024-02-11,24237528934,+R$12.000
2025-05-04,78612183903,R$8.000–12.000
2025-06-04,57118016696,+R$12.000
2025-08-04,84735187960,R$8.000–12.000
2024-09-10,82445669775,+R$12.000
2024-08-23,78651819199,R$8.000–12.000
2024-07-13,80751161568,R$8.000–12.000
2025-11-17,94402004909,R$2.000–4.000
2024-02-22,50633966615,+R$12.000
2024-05-06,90783152349,R$8.000–12.000
2025-11-12,14912722301,R$8.000–12.000
2024-11-15,22486185246,R$2.000–4.000
2025-03-10,39884301990,R$8.000–12.000
2024-03-16,48862870144,+R$12.000
2024-11-13,11713816484,R$2.000–4.000
2024-08-24,83200579025,+R$12.000
2025-06-30,87698936529,R$8.000–12.000
2024-07-07,90241109837,R$8.000–12.000
2025-02-12,25824709446,R$4.000–8.000
2025-05-16,40802057673,R$8.000–12.000
2025-08-21,78358476478,+R$12.000
2024-08-11,88614711453,R$4.000–8.000
2024-12-11,71744569416,R$8.000–12.000
2025-03-27,28730609159,R$4.000–8.000
2024-08-02,92570193542,R$4.000–8.000
2024-03-28,89864044265,+R$12.000
2025-03-07,82010830901,+R$12.000
2025-07-18,12643663726,R$8.000–12.000
2025-06-02,05105094977,R$4.000–8.000
2025-05-19,23613093963,R$2.000–4.000
2024-10-25,60754313268,+R$12.000
2025-12-23,04353078754,+R$12.000
2024-12-23,26104047689,+R$12.000
2025-06-14,40646094956,+R$12.000
2024-11-16,77485682944,R$8.000–12.000
2024-06-06,46473997869,R$8.000–12.000
2024-10-11,32697147530,+R$12.000
2025-10-04,88591568636,R$4.000–8.000
2025-05-24,00039833928,+R$12.000
2024-01-23,12833844378,R$4.000–8.000
