data_compra,cpf,destino,cep
2025-12-01,44817736556,Irlanda,04129073
2025-11-16,30236416936,Canadá,22324934
2024-02-22,06278790259,Canadá,05016730
2024-12-02,36548522072,EUA,22631459
2024-10-02,04762539501,Irlanda,30936337
2024-07-24,69995285023,EUA,22952841
2025-09-24,28305644685,Canadá,40959262
2024-06-02,09282616417,EUA,22349200
2024-12-10,97239201029,EUA,20926639
2025-05-13,57945759599,Canadá,05026912
2025-01-12,83952525207,EUA,22793777
2024-02-05,54601891134,Canadá,80820514
2024-07-13,26836843771,EUA,80203297
2025-02-05,12578047371,EUA,04770957
2025-10-17,21985965510,Canadá,01011405
2024-08-27,66860673476,Irlanda,01891304
2024-01-26,60191090488,Canadá,22737993
2025-01-20,45810457346,EUA,22261936
2025-04-05,61888178602,EUA,40586604
2025-01-27,95164849779,Austrália,90207530
2025-04-01,56052699015,Reino Unido,70853933
2025-01-26,46403507695,Canadá,22615714
2025-02-10,91086043171,Irlanda,22696482
2025-11-18,55839111532,Canadá,01415291
2024-05-16,37147320431,Canadá,04454288
2025-10-20,92239407173,Canadá,40234282
2025-12-03,17561680956,Austrália,01541749
2024-05-26,97032043474,Canadá,60314312
2025-09-03,75859391853,EUA,04737143
2024-02-13,93854609121,EUA,05024479
2025-09-06,25453960160,Canadá,90144862
2024-10-18,60325039439,EUA,01970273
2025-04-30,27895236179,EUA,22743268
2024-12-12,54959578127,EUA,01504726
2025-11-12,92225145579,Canadá,22859737
2024-03-30,22016318520,Canadá,04246593
2025-05-22,01421563452,Canadá,90410175
2024-10-03,34792305782,Irlanda,90757201
2024-09-05,38540700841,EUA,01963131
2024-04-02,39677054673,EUA,04077401
2024-09-21,72681931922,Austrália,01092790
2024-02-04,55414085796,EUA,04916588
2025-03-01,63185596707,Irlanda,40769637
2024-09-28,91584647256,Canadá,01393826
2025-10-11,83032536952,Canadá,40544456
2025-05-06,31962756443,EUA,22597326
2025-12-10,55072831018,Irlanda,04538559
2025-09-26,40591934424,Reino Unido,50880673
2025-10-29,25040258988,Austrália,70643553
2024-12-05,02410415074,EUA,01119415
2024-01-01,58170833514,Irlanda,22266278
2024-08-17,50809897173,EUA,05091776
2025-04-30,08623650460,Irlanda,22934668
2025-09-09,79970629810,Irlanda,30657362
2025-03-24,46731371741,Canadá,01698419
2024-10-12,45820721624,EUA,30130305
2025-04-26,90355081996,Canadá,04284329
2025-09-26,00040046454,EUA,80394541
2024-05-28,60919193526,EUA,01350590
2024-06-17,62505532679,Irlanda,40284882
2025-02-09,01749317560,Canadá,80006189
2025-06-19,01975570826,Irlanda,70870980
2024-08-15,97239766105,Reino Unido,80886470
2025-07-07,15007601751,Canadá,80005920
2024-06-09,85155013524,Canadá,05094820
2025-11-16,27305976620,EUA,04844014
2024-03-29,41983857928,EUA,22827150
2024-12-11,34756196176,Canadá,05145115
2025-12-19,94199645962,Austrália,30685207
2024-06-12,07051825110,Reino Unido,01668544
2024-12-08,49405815193,EUA,05929159
2024-07-10,45580482940,Canadá,40531388
2024-07-31,29860427857,Austrália,01251431
2025-09-08,26597460302,Austrália,01109136
2025-07-17,92407413596,Canadá,22244242
2025-09-12,81605191702,Canadá,01190886
2025-09-09,81875880414,EUA,04197429
2025-05-30,22930944312,Irlanda,01281870
2025-12-18,38826976941,Austrália,20396498
2025-04-19,93914603782,EUA,01233321
2024-12-21,52404157584,EUA,05473433
2024-09-05,56286078138,Canadá,01814341
2024-11-22,20244407319,Austrália,05930554
2025-05-27,01618321529,Irlanda,01859977
2024-05-30,06067377889,Irlanda,04261125
2024-07-18,17056476585,Irlanda,22460606
2024-10-27,35946895374,Reino Unido,01176325
2025-11-15,51628908454,EUA,01386143
2024-05-19,89161905587,EUA,20018714
2024-07-10,05975733682,Irlanda,30387352
2025-02-16,48526023547,EUA,22262036
2024-01-07,92752340870,EUA,05575813
2025-08-28,13635911420,EUA,01111136
2024-06-06,50825723230,Irlanda,80004572
2025-12-22,19181498367,EUA,20624014
2024-01-08,27081207800,EUA,01552091
2025-11-07,76444904394,Austrália,01734076
2025-01-19,88147425074,Austrália,04046840
2024-04-08,48046886989,Irlanda,20410204
2024-08-12,16246988967,Austrália,22958754
2025-01-27,42550353321,Irlanda,22164345
2025-08-07,45349732009,Canadá,01968119
2025-02-23,60176787388,EUA,01106065
2024-03-16,69531217894,Canadá,22636788
2025-08-08,72967204186,Canadá,01066630
2025-02-21,15440967624,Reino Unido,04506267
2024-11-13,95228751209,EUA,05067561
2024-04-23,90937577079,Canadá,22878698
2025-01-22,79081322082,Canadá,01312288
2025-11-05,37196034897,Irlanda,22111438
2024-04-14,08678945119,Canadá,04822290
2025-07-19,83905101181,EUA,04808275
2024-08-25,44965502421,EUA,90937333
2025-05-10,87650916397,Irlanda,70023377
2025-11-07,61068965532,EUA,40508277
2024-04-19,10843971182,Canadá,30923012
2024-09-24,97114917946,Irlanda,04953384
2024-09-19,21517507963,Austrália,01147280
2025-04-25,38690168120,EUA,20893006
2024-08-04,38156959070,Irlanda,80612378
2024-05-21,34423816226,Canadá,30522866
2025-04-07,52015691461,Irlanda,01078359
2025-10-06,27632722373,Reino Unido,70060268
2025-01-02,13599642606,Irlanda,30624575
2025-01-10,17475294977,Irlanda,05375322
2025-08-07,70310122133,Canadá,22364804
2025-12-21,83968382525,Canadá,70036638
2025-08-12,39654310557,EUA,01678046
2024-05-05,05074950443,EUA,90099845
2024-08-26,66027168927,Canadá,04891479
2024-03-10,09478306264,Canadá,50514917
2024-08-28,87288073664,Canadá,01042387
2024-02-21,95021118700,Reino Unido,05550892
2024-05-25,84446850138,Canadá,50518375
2025-03-31,73223224263,Austrália,04402524
2024-09-06,12541452878,EUA,90355625
2025-04-21,79406525329,Canadá,04274306
2025-10-22,49411715903,EUA,01852943
2025-04-09,52165389739,Canadá,01468922
2025-03-14,66675244203,EUA,22492603
2024-12-19,97065811245,Austrália,20448563
2024-11-25,85662176272,Austrália,30837517
2025-12-30,22198848131,Canadá,22982366
2024-10-17,85550269450,EUA,80744401
2024-04-18,33099479141,Austrália,04785977
2025-08-26,64254247026,Irlanda,04644326
2025-07-14,50829038569,Irlanda,80979141
2024-11-18,91845192084,Reino Unido,05358255
2024-11-17,17593172610,Reino Unido,40334406
2024-10-03,08558834856,Canadá,05951170
2024-03-23,55012199149,EUA,22132329
2025-04-07,38870713604,EUA,01144979
2025-10-23,74261422740,EUA,20083171
2024-02-21,62984754870,Reino Unido,22261421
2024-02-24,37012335793,Canadá,80725754
2025-10-02,18924557464,Reino Unido,01236057
2024-02-15,50220805384,Irlanda,22460608
2024-11-09,12014079834,EUA,22460841
2024-05-16,81415771807,Irlanda,22147769
2024-05-25,80222446616,EUA,01484715
2024-01-28,70547209264,EUA,22825145
2024-01-26,10017977660,Irlanda,90163014
2025-07-26,92298309221,EUA,20899475
2024-01-19,04503860729,Canadá,01035420
2024-01-16,77052979253,EUA,40103722
2025-11-28,81071377973,EUA,05962097
2024-09-28,73815679972,Reino Unido,80352952
2025-05-05,60824740794,Irlanda,90319291
2025-01-03,80460653493,Austrália,05420887
2025-01-23,90455436233,Irlanda,05075714
2024-12-31,33734348891,Reino Unido,04025778
2025-05-25,33098703824,EUA,40767159
2025-02-16,95225494570,Irlanda,01480411
2024-01-27,41811607621,Reino Unido,22625664
2024-02-27,65536018117,Canadá,04132561
2025-05-03,61173702153,Reino Unido,30358042
2024-03-14,15394406014,Canadá,30712134
2025-01-15,87291298967,Canadá,22667374
2025-01-09,52241134148,Irlanda,22424749
2024-11-25,04416316641,Austrália,20054063
2025-03-31,43612514261,Austrália,22133319
2025-07-04,15212193387,Irlanda,22046699
2025-12-20,36325586133,Canadá,01011356
2025-07-09,61817457576,Austrália,30442667
2024-12-02,28329958742,Austrália,05759224
2024-06-16,51562837947,EUA,04070511
2025-10-13,25011287508,Canadá,80478821
2025-12-17,74471565037,Austrália,01989754
2025-05-31,32007386543,Reino Unido,50108125
2024-06-24,93487760131,Irlanda,20134267
2025-01-17,28396324700,Irlanda,22598697
2025-09-01,05884194824,Austrália,04699936
2024-05-04,02687485117,Austrália,05117150
2025-08-24,59028277469,EUA,04340731
2025-04-21,61693133363,Canadá,22812815
2024-06-25,12993878843,Austrália,70448299
2025-09-26,93004492294,Irlanda,50410644
2024-06-19,14290094017,EUA,80638649
2024-12-17,70249116993,EUA,01659570
2025-10-05,69781626671,Irlanda,01443814
2024-05-26,68737014498,Canadá,04103929
2025-06-18,53998376732,EUA,70165446
2025-02-02,63262375054,Canadá,40977189
2024-02-01,57142709319,Reino Unido,01951721
2025-09-09,02467769688,EUA,80435961
2024-12-10,94123075674,Canadá,04476971
2024-07-07,86297832845,Irlanda,01775169
2024-05-22,71999465012,Irlanda,70494538
2024-09-17,24451619465,Austrália,05002639
2024-03-24,70989534251,EUA,70124196
2025-10-30,58812155524,EUA,22881001
2025-06-12,82401521738,Canadá,01069674
2025-11-05,13579614440,Austrália,01468598
2025-02-28,96414412757,EUA,22179468
2025-02-21,37090313464,EUA,40618010
2025-07-26,96572728781,EUA,90690117
2024-07-09,66751965376,Reino Unido,01248893
2024-11-18,92749914383,Irlanda,01690326
2024-08-20,63993782369,Irlanda,01013617
2025-04-05,55501878900,Irlanda,80952191
2024-10-04,30981107808,Canadá,60844389
2024-03-04,42953371894,EUA,01012811
2025-02-12,71720984027,EUA,01201093
2024-12-17,61563688646,Canadá,90662018
2024-04-26,06440930577,Canadá,01297985
2024-03-04,83972006632,Austrália,04437520
2025-08-23,19177987950,Canadá,22655717
2025-02-16,68519261758,Austrália,04461718
2024-08-06,31629581077,Reino Unido,04672938
2024-09-23,61396047510,EUA,30275811
2024-10-30,53370193639,Canadá,22752347
2024-03-30,99681754814,Canadá,01665732
2024-04-21,45737984800,Canadá,22827699
2025-01-20,09213701832,Irlanda,90011931
2024-04-14,31870509822,Irlanda,01885142
2024-02-20,75335940953,Reino Unido,05660272
2025-03-15,01183606370,Irlanda,22344315
2024-03-08,89477854079,Irlanda,04252629
2025-01-18,67206474055,Reino Unido,04229487
2025-12-04,19546723904,EUA,04559375
2024-06-24,82024469439,Austrália,20297184
2025-06-08,18349799229,Reino Unido,05735910
2025-09-07,63968248172,Canadá,30106222
2024-10-25,11582508434,Reino Unido,60095882
2024-08-06,87015295063,Canadá,01112649
2025-05-10,48602563781,Reino Unido,80602054
2025-04-04,05865483388,EUA,01511111
2025-07-26,87236362858,Irlanda,01108840
2025-03-25,02984558281,Canadá,04644103
2025-01-30,28360696688,Irlanda,01558504
2025-12-16,94931733220,Austrália,70285724
2024-02-16,80727435856,Canadá,30876814
2025-12-20,88238551510,Reino Unido,05915258
2025-10-22,58915965458,Austrália,01966222
2025-12-18,98336919571,Reino Unido,40010052
2024-03-26,23436664798,EUA,80647441
2025-04-07,00143101609,Canadá,90755441
2024-12-26,91739593295,Irlanda,90742946
2024-05-22,54710578703,Canadá,01107210
2025-12-15,62300300452,Irlanda,22207320
2024-01-23,03902915425,Irlanda,05717156
2024-11-21,48310344694,EUA,20936461
2024-02-29,43166518999,EUA,01202407
2025-05-01,72607612420,Reino Unido,04077340
2025-07-17,69215390050,Canadá,04987726
2024-01-09,57181341029,EUA,22120920
2025-04-22,90541166911,Austrália,90295021
2025-03-21,71338447278,Canadá,01815113
2024-04-17,70502119250,Austrália,01405729
2024-02-22,72724334772,EUA,01271884
2025-09-05,19405484652,EUA,20719856
2024-08-28,57649478979,Austrália,01716769
2024-06-23,40274124320,Irlanda,01030736
2024-05-29,37558491282,Reino Unido,80187312
2025-08-01,51497674002,EUA,05497256
2024-06-19,20948461802,Canadá,05818222
2024-06-30,30562597223,Canadá,30594797
2024-09-27,80257699858,Canadá,04617989
2025-01-15,56035661973,Irlanda,80827984
2025-07-13,63721366159,Reino Unido,22185277
2024-07-23,37265683720,Canadá,70322066
2025-01-31,74375177784,Irlanda,05120045
2025-07-18,11406840006,Irlanda,80478714
2025-02-27,97049221056,EUA,22102610
2024-06-22,81606032612,EUA,90199229
2024-06-01,77028748928,Reino Unido,04248788
2024-01-23,34285357462,Canadá,04914417
2024-12-14,52735965528,Reino Unido,01783053
2025-03-27,25996723346,EUA,04709479
2025-07-27,81590436129,Irlanda,30711120
2024-05-21,28233177736,Canadá,04215324
2025-07-09,78309917922,Canadá,04744775
2024-01-21,55037181962,Canadá,22437417
2025-12-08,11776969391,Austrália,04625568
2024-04-04,28989924280,Canadá,04661821
2025-11-03,19402071277,Irlanda,05636090
2024-02-10,72699519132,EUA,05535331
2025-02-22,86567385648,EUA,22745024
2025-12-07,90806342587,EUA,04449166
2025-06-27,26632759348,Canadá,04373697
2024-04-30,78077677583,Irlanda,50689699
2024-06-26,69304510583,EUA,04614971
2024-09-06,55077884399,Canadá,22753771
2025-11-04,09382963553,EUA,30514496
2024-10-02,66175963136,EUA,01711672
2024-01-14,79576760244,Canadá,01109924
2025-05-10,56881911129,EUA,22842829
2025-04-17,94049636508,EUA,80635006
2025-07-03,57855048680,Reino Unido,22836768
2024-09-29,98401048807,Canadá,70542512
2025-02-03,51865614035,Reino Unido,22025830
2024-01-28,70485513138,EUA,04979949
2024-10-28,40847710027,Austrália,20571619
2024-08-23,88908155064,Irlanda,50220676
2025-10-24,31481247956,EUA,01686880
2025-03-12,82927307393,EUA,01495215
2024-07-27,97499375792,EUA,20729517
2025-09-24,17968514508,EUA,04638666
2025-10-23,58432991378,EUA,40506137
2025-03-20,97526066543,Austrália,22228654
2025-09-01,52810931993,Irlanda,01231372
2025-01-17,00042199893,Austrália,04711761
2024-02-17,11094989905,Canadá,04617924
2024-08-15,89983587448,Austrália,20123878
2024-12-16,38543366581,Austrália,05175761
2025-07-11,95177434021,Irlanda,01823063
2024-10-06,54783643748,Austrália,80136221
2024-08-28,90451329311,EUA,30107571
2024-05-28,82161199588,Canadá,01138713
2025-12-21,88749442318,EUA,60286057
2025-02-22,42851775656,EUA,04419601
2024-11-27,22754109597,Canadá,20516342
2025-07-15,44081372776,EUA,22855098
2024-12-17,38434631847,Canadá,01945169
2024-04-17,77932082841,EUA,22899423
2025-12-09,36661880097,EUA,80942377
2025-08-21,95876012133,Canadá,01478680
2024-10-31,10328311103,EUA,70299485
2024-02-21,89500541316,Irlanda,04801121
2024-03-14,97861286003,Austrália,04760171
2024-04-14,31721162442,Canadá,04753690
2024-04-04,72974127822,Canadá,90293956
2025-01-14,23223097012,Austrália,01782104
2024-03-19,49623402164,Austrália,01802434
2025-06-09,07121138712,EUA,80534239
2024-02-02,00677330665,Canadá,70939850
2024-02-17,56657200712,Canadá,30234252
2024-12-01,07445983051,Irlanda,30185029
2025-09-19,52769595341,Austrália,01791288
2024-11-01,24897548294,Irlanda,22115156
2025-10-04,73072207053,EUA,01005803
2024-04-13,56836333193,Canadá,30813554
2024-09-10,24660937328,Irlanda,04676924
2025-03-24,50804589542,Irlanda,22186218
2025-06-23,50274940606,Irlanda,30474833
2024-01-02,16049018926,Reino Unido,01037235
2025-08-17,60499176549,EUA,04460482
2025-10-15,96851267390,Irlanda,70602867
2025-07-15,71452241491,EUA,30930584
2024-01-23,14444104868,EUA,90436227
2024-01-30,38029991202,Austrália,22164072
2025-06-14,30815550786,Irlanda,80695049
2025-09-30,09635879212,Irlanda,04629089
2024-03-03,40189159910,Austrália,30425764
2024-01-17,72121878542,EUA,22179022
2025-03-06,04512664978,Austrália,22311913
2024-02-13,52602486966,Canadá,20925508
2025-07-08,17199106517,Canadá,01856853
2024-06-09,91470926506,Irlanda,60956204
2025-04-20,83636905073,Irlanda,01278756
2025-11-13,48781993572,Canadá,05676249
2025-12-21,36057470767,Canadá,22087040
2024-02-17,67873841107,EUA,05150607
2024-09-26,16182332941,Reino Unido,80999394
2025-12-05,44078858618,Austrália,80813122
2025-09-29,15590053761,EUA,20752715
2025-04-20,14690615339,Canadá,01920116
2024-12-14,31043474659,Canadá,04095428
2024-02-13,38802544408,Canadá,20920617
2025-11-12,49236790821,Austrália,04451152
2025-06-02,07571968617,Irlanda,22036285
2024-12-12,72378114111,Canadá,01526872
2024-11-08,55084410167,Canadá,20824877
2025-05-28,90662595821,EUA,30044517
2025-05-20,67488518851,Irlanda,01226431
2024-06-22,55636934794,Austrália,22719198
2024-02-19,67667495134,Irlanda,80815638
2024-08-15,39980682132,Canadá,04076887
2025-05-23,42778108468,EUA,22341110
2025-06-13,84936466960,Reino Unido,01313005
2024-03-01,99818853444,Austrália,60795888
2025-05-19,73565860882,EUA,01343900
2025-05-22,91619723718,Canadá,90322190
2024-08-25,76309650040,Austrália,90445303
2024-05-31,12650075406,Irlanda,30131812
2025-07-29,87045037403,Reino Unido,04387224
2024-01-07,43694882595,Reino Unido,22701079
2025-07-07,54083563014,Canadá,22104413
2025-08-24,81864516251,Canadá,70065162
2024-05-09,77672710678,EUA,80203454
2025-04-10,28077212122,Irlanda,90280154
2025-09-02,95428758293,EUA,04983709
2024-01-25,98139405357,Canadá,22330459
2025-10-12,03891079446,Canadá,04711627
2024-06-22,04260505725,Irlanda,01513280
2025-02-07,87248065667,Austrália,22700026
2025-12-04,97281090620,Irlanda,30488216
2025-04-09,11297640720,Austrália,01111339
2025-03-18,85331541944,EUA,01201887
2025-08-07,60764903791,Austrália,90310614
2025-03-27,28502471527,Canadá,90725395
2024-02-10,01489754841,EUA,30833780
2024-12-10,82363062777,Canadá,05561200
2024-01-06,21113208154,EUA,01592773
2025-07-30,40525432635,EUA,20441211
2024-05-01,94332031006,EUA,20158846
2025-12-24,19006954739,Canadá,20389089
2025-12-15,43671528326,Reino Unido,30442799
2025-07-13,51153853603,Irlanda,30425811
2025-03-07,75741924659,Canadá,05333078
2024-05-07,75441099358,Canadá,04134461
2024-06-22,85716310301,Irlanda,22198667
2024-05-13,99703515579,Canadá,04706814
2024-01-07,75022099246,EUA,22850426
2025-08-11,86619210299,Austrália,04139151
2024-05-19,37730871141,Canadá,22669242
2025-09-12,74420844440,Reino Unido,22466087
2024-01-25,28353185577,EUA,01779753
2024-05-30,30445762323,Austrália,04719759
2025-12-23,97124443382,Austrália,20288372
2025-10-07,56113890406,Austrália,22971499
2025-04-15,61803205306,Canadá,70513350
2024-12-02,48876461132,EUA,80208224
2024-01-24,51059625449,EUA,05570045
2024-03-18,45897419645,Canadá,20325499
2024-01-30,27376149981,Reino Unido,80494619
2025-10-05,17666416342,EUA,60642615
2024-11-02,51991739316,EUA,50901717
2025-02-17,19965724674,Reino Unido,70542848
2024-07-04,05887433356,Canadá,80588297
2025-02-12,22596256147,Reino Unido,05842678
2025-09-04,15068946491,Austrália,22212115
2025-01-12,49876748854,Irlanda,70835076
2024-05-21,41358188017,EUA,04509114
2024-02-29,34814167645,Canadá,01546432
2025-08-19,14478538057,EUA,22066736
2024-12-15,70869420680,Reino Unido,90529493
2024-12-14,84579470670,Reino Unido,01014392
2024-07-02,86273752090,Canadá,04078247
2024-07-10,35448442390,Reino Unido,50812560
2024-01-03,70295212215,EUA,70758082
2025-03-13,59247015980,EUA,01191537
2024-04-21,06667981267,EUA,01693880
2024-11-30,77755799396,Canadá,90811241
2024-08-04,48117917202,Canadá,05496876
2024-09-22,62009003668,EUA,04189485
2024-05-16,02118135482,Irlanda,90748833
2024-03-22,28472062042,EUA,04739493
2025-09-06,04178810524,Canadá,05275216
2025-12-20,32900721378,EUA,05684851
2024-06-19,93970635660,Austrália,04976049
2024-02-24,56242750249,Reino Unido,30034154
2025-03-22,32174065756,EUA,01940506
2024-10-05,32271548411,Reino Unido,05143838
2025-12-25,51925099171,Reino Unido,01452580
2024-11-09,51735927257,EUA,05888106
2025-08-22,65436247345,Austrália,40912122
2024-11-04,97816864720,EUA,01469967
2024-05-28,95225417094,Irlanda,90203766
2025-03-19,80530430041,Irlanda,20447621
2025-12-29,72410285630,Canadá,30237263
2024-08-17,89538772242,Canadá,04029486
2024-02-21,64433671019,Reino Unido,80302076
2024-11-28,14591027489,EUA,20129834
2024-06-03,84564637172,Canadá,05783545
2025-07-27,27205091422,Canadá,22937960
2025-03-28,93888646636,EUA,04177808
2024-11-10,58503366653,EUA,01280191
2024-06-04,30050682616,Austrália,04621252
2025-01-27,23232167877,Austrália,05170831
2025-03-09,10745414395,EUA,30709944
2024-12-16,44238593148,Irlanda,20494341
2024-01-25,29903723210,Irlanda,01773124
2024-07-16,90783473646,Austrália,30686504
2024-10-26,92675731335,Irlanda,04949449
2025-06-30,65589507246,EUA,20255535
